TotalDelayArrivalFlights,TotalArrivalFlights,DepartureFlightArrivalRatio
20.0,154,0.12987012987013
18,137,0.131386861313869
13.0,157,0.0828025477707006
1979.0,7665,0.258186562296151
45.0,297,0.151515151515152
81.0,347,0.23342939481268
19,149,0.12751677852349
67.0,309,0.216828478964401
7,88,0.0795454545454545
124.0,859,0.144353899883586
16,93,0.172043010752688
21.0,188,0.111702127659574
34.0,195,0.174358974358974
28.0,264,0.106060606060606
46.0,243,0.189300411522634
20,216,0.0925925925925926
98.0,758,0.129287598944591
57.0,428,0.133177570093458
67.0,538,0.12453531598513
29,152,0.190789473684211
14.0,84,0.166666666666667
7,48,0.145833333333333
7,31,0.225806451612903
25.0,184,0.135869565217391
18.0,83,0.216867469879518
14,119,0.117647058823529
748.0,3878,0.192882929345023
2.0,49,0.0408163265306122
540.0,4546,0.118785745710515
151.0,545,0.277064220183486
21.0,245,0.0857142857142857
36.0,315,0.114285714285714
10.0,52,0.192307692307692
285.0,2533,0.11251480457955
6.0,31,0.193548387096774
1462.0,11642,0.12557979728569
103.0,688,0.149709302325581
31.0,207,0.14975845410628
44.0,197,0.223350253807107
11.0,57,0.192982456140351
319.0,2207,0.144540099682827
12.0,54,0.222222222222222
28.0,169,0.165680473372781
48.0,382,0.12565445026178
11,59,0.186440677966102
26.0,492,0.0528455284552846
83.0,403,0.205955334987593
48.0,428,0.11214953271028
239.0,1499,0.159439626417612
1610.0,8014,0.200898427751435
5,62,0.0806451612903226
12.0,74,0.162162162162162
33.0,346,0.0953757225433526
165.0,985,0.16751269035533
12.0,186,0.0645161290322581
53.0,251,0.211155378486056
5,52,0.0961538461538462
1983.0,12245,0.161943650469579
8,88,0.0909090909090909
3132.0,16406,0.190905766183104
43.0,400,0.1075
25.0,93,0.268817204301075
7.0,76,0.0921052631578947
68.0,367,0.185286103542234
33.0,270,0.122222222222222
1684.0,8035,0.209583074051027
180.0,755,0.23841059602649
135.0,1005,0.134328358208955
77.0,614,0.125407166123779
42.0,234,0.17948717948718
16.0,165,0.096969696969697
15,49,0.306122448979592
3,55,0.0545454545454545
58.0,472,0.122881355932203
36.0,189,0.19047619047619
467.0,3325,0.140451127819549
2083.0,10730,0.194128611369991
27.0,190,0.142105263157895
831.0,6676,0.124475733972439
9.0,83,0.108433734939759
132.0,1154,0.114384748700173
9.0,194,0.0463917525773196
50.0,235,0.212765957446808
39.0,192,0.203125
74.0,442,0.167420814479638
1493.0,6088,0.24523653088042
407.0,2706,0.150406504065041
17.0,62,0.274193548387097
9,117,0.0769230769230769
41.0,219,0.187214611872146
28.0,246,0.113821138211382
5.0,32,0.15625
42.0,353,0.118980169971671
29.0,150,0.193333333333333
12.0,55,0.218181818181818
34.0,210,0.161904761904762
94.0,577,0.162911611785095
29.0,181,0.160220994475138
1536.0,9585,0.160250391236307
530.0,3501,0.151385318480434
23.0,152,0.151315789473684
49.0,228,0.214912280701754
19.0,90,0.211111111111111
648.0,3652,0.177437020810515
321.0,1906,0.168415529905561
178.0,1324,0.134441087613293
229.0,1414,0.161951909476662
6.0,61,0.0983606557377049
280.0,1598,0.175219023779725
3059.0,18605,0.164418167159366
129.0,847,0.152302243211334
15.0,62,0.241935483870968
6.0,17,0.352941176470588
3,61,0.0491803278688525
16.0,62,0.258064516129032
8,31,0.258064516129032
646.0,2430,0.265843621399177
524.0,4143,0.126478397296645
9.0,88,0.102272727272727
805.0,5671,0.141950273320402
1691.0,13035,0.129727656309935
49.0,250,0.196
2.0,52,0.0384615384615385
10.0,56,0.178571428571429
261.0,1888,0.138241525423729
10.0,54,0.185185185185185
58.0,441,0.131519274376417
